Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::~_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::_Vector_impl(std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_base(unsigned long, std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<Move>::deallocate(Move*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<Move>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<Event>::~__new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<long long, long long>(long long*, long long*, long long*)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__uninitialized_fill_n<true>::__uninit_fill_n<long long*, unsigned long, long long>(long long*, unsigned long, long long const&)
  0.00      0.00     0.00        2     0.00     0.00  Move* std::__uninitialized_default_n_1<true>::__uninit_default_n<Move*, unsigned long>(Move*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Move, std::allocator<Move> >::_S_max_size(std::allocator<Move> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Move, std::allocator<Move> >::_S_check_init_len(unsigned long, std::allocator<Move> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Move, std::allocator<Move> >::_M_default_initialize(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Move, std::allocator<Move> >::vector(unsigned long, std::allocator<Move> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Move, std::allocator<Move> >::~vector()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Event, std::allocator<Event> >::vector()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Event, std::allocator<Event> >::~vector()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_S_relocate(long long*, long long*, long long*, std::allocator<long long>&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_M_erase_at_end(long long*)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_S_check_init_len(unsigned long, std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_M_fill_initialize(unsigned long, long long const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::erase(__gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > >)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::reserve(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_M_erase(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::vector(unsigned long, long long const&, std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::vector()
  0.00      0.00     0.00        2     0.00     0.00  void std::_Construct<Move>(Move*)
  0.00      0.00     0.00        2     0.00     0.00  Move* std::__fill_n_a<Move*, unsigned long, Move>(Move*, unsigned long, Move const&, std::random_access_iterator_tag)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__fill_n_a<long long*, unsigned long, long long>(long long*, unsigned long, long long const&, std::random_access_iterator_tag)
  0.00      0.00     0.00        2     0.00     0.00  Move* std::__addressof<Move>(Move&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, long long*>(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, long long*)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__relocate_a<long long*, long long*, std::allocator<long long> >(long long*, long long*, long long*, std::allocator<long long>&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > std::move_backward<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > >(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >)
  0.00      0.00     0.00        2     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<long long, void>::value, long long*>::type std::__relocate_a_1<long long, long long>(long long*, long long*, long long*, std::allocator<long long>&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > std::__adjacent_find<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__ops::_Iter_equal_to_iter>(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__ops::_Iter_equal_to_iter)
  0.00      0.00     0.00        2     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.00     0.00        2     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.00     0.00        2     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, long, __gnu_cxx::__ops::_Iter_less_iter)
